# IMMUTABLE RAW PULL — DO NOT MODIFY
# Instrument: RSP
# Source: yfinance auto_adjust=True (dividend-adjusted close)
# Pull date (data as of): 2026-07-01
# Rows: 5829
date,close
2003-05-01,17.83765411376953
2003-05-02,18.169986724853516
2003-05-05,18.208454132080078
2003-05-06,18.3536319732666
2003-05-07,18.281930923461914
2003-05-08,18.084280014038086
2003-05-09,18.33964729309082
2003-05-12,18.680736541748047
2003-05-13,18.637001037597656
2003-05-14,18.680736541748047
2003-05-15,18.8748836517334
2003-05-16,18.908111572265625
2003-05-19,18.416610717773438
2003-05-20,18.39386749267578
2003-05-21,18.467336654663086
2003-05-22,18.729703903198242
2003-05-23,18.834651947021484
2003-05-27,19.240447998046875
2003-05-28,19.291175842285156
2003-05-29,19.222959518432617
2003-05-30,19.599031448364258
2003-06-02,19.70746421813965
2003-06-03,19.700475692749023
2003-06-04,20.11326789855957
2003-06-05,20.25494384765625
2003-06-06,20.149995803833008
2003-06-09,19.822904586791992
2003-06-10,19.966339111328125
2003-06-11,20.30916976928711
2003-06-12,20.393125534057617
2003-06-13,20.080036163330078
2003-06-16,20.485830307006836
2003-06-17,20.52255630493164
2003-06-18,20.426353454589844
2003-06-19,20.160497665405273
2003-06-20,20.14125633239746
2003-06-23,19.85789680480957
2003-06-24,19.800168991088867
2003-06-25,19.695220947265625
2003-06-26,19.864891052246094
2003-06-27,19.75469970703125
2003-06-30,19.76868438720703
2003-07-01,19.835153579711914
2003-07-02,20.08702850341797
2003-07-03,19.976839065551758
2003-07-07,20.312664031982422
2003-07-08,20.50157356262207
2003-07-09,20.513818740844727
2003-07-10,20.13075828552246
2003-07-11,20.253204345703125
2003-07-14,20.548803329467773
2003-07-15,20.289928436279297
2003-07-16,20.11326789855957
2003-07-17,19.817670822143555
2003-07-18,20.08702850341797
2003-07-21,19.824663162231445
2003-07-22,20.07304573059082
2003-07-23,19.908613204956055
2003-07-24,19.99256706237793
2003-07-25,20.29868507385254
2003-07-28,20.338899612426758
2003-07-29,20.184986114501953
2003-07-30,20.143001556396484
2003-07-31,20.23396110534668
2003-08-01,20.104520797729492
2003-08-04,20.069538116455078
2003-08-05,19.705726623535156
2003-08-06,19.756444931030273
2003-08-07,19.824663162231445
2003-08-08,19.89812660217285
2003-08-11,19.97857666015625
2003-08-12,20.169239044189453
2003-08-13,20.13249969482422
2003-08-14,20.34415054321289
2003-08-15,20.387876510620117
2003-08-18,20.622276306152344
2003-08-19,20.7517032623291
2003-08-20,20.760448455810547
2003-08-21,20.931859970092773
2003-08-22,20.700971603393555
2003-08-25,20.660749435424805
2003-08-26,20.739456176757812
2003-08-27,20.80592155456543
2003-08-28,20.984336853027344
2003-08-29,21.106769561767578
2003-09-02,21.416383743286133
2003-09-03,21.47060203552246
2003-09-04,21.48809051513672
2003-09-05,21.402381896972656
2003-09-08,21.575538635253906
2003-09-09,21.38838768005371
2003-09-10,21.00707244873047
2003-09-11,21.152259826660156
2003-09-12,21.211719512939453
2003-09-15,21.152259826660156
2003-09-16,21.45310401916504
2003-09-17,21.409372329711914
2003-09-18,21.662996292114258
2003-09-19,21.658952713012695
2003-09-22,21.365385055541992
2003-09-23,21.521839141845703
2003-09-24,21.16850471496582
2003-09-25,20.93294334411621
2003-09-26,20.76419448852539
2003-09-29,20.890758514404297
2003-09-30,20.79407501220703
2003-10-01,21.161470413208008
2003-10-02,21.270462036132812
2003-10-03,21.520084381103516
2003-10-06,21.651927947998047
2003-10-07,21.757394790649414
2003-10-08,21.697633743286133
2003-10-09,21.832984924316406
2003-10-10,21.81540298461914
2003-10-13,22.0351505279541
2003-10-14,22.114259719848633
2003-10-15,22.04920196533203
2003-10-16,22.08436393737793
2003-10-17,21.82243537902832
2003-10-20,21.903301239013672
2003-10-21,21.943737030029297
2003-10-22,21.622039794921875
2003-10-23,21.639617919921875
2003-10-24,21.534147262573242
2003-10-27,21.674772262573242
2003-10-28,22.0351505279541
2003-10-29,22.119525909423828
2003-10-30,22.2285099029541
2003-10-31,22.233776092529297
2003-11-03,22.423633575439453
2003-11-04,22.325191497802734
2003-11-05,22.356842041015625
2003-11-06,22.4921932220459
2003-11-07,22.455272674560547
